# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9600 GT
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyDtoD_aligned,1.728,10.691,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.696,10.608,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.713,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.728,10.997,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.664,10.814,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.696,10.706,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.696,10.721,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,4,0,0,0,0
memcpyDtoD_aligned,1.92,10.956,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.696,10.616,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.691,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
_Z9matrixMulP6float2S0_S0_ll,192,202.005,0.667,4,8,16,16,16,0,4136,16,0,2048,0,1024,0,0,5504,0,35547,7613,8
_Z13c2c_radix2_spifiPvS_i11tfStride_st,17.248,26.805,0.667,1,64,64,1,1,1024,64,12,0,128,0,1024,0,0,368,0,2970,327,16
_Z21FAM_FFTShift_VerticalP6float2ll,18.976,29.072,1,8,4,16,16,16,0,28,6,2048,0,4096,0,0,0,32,0,395,0,8
_Z15FAM_DownConvertP6float2iii,34.112,78.793,0.667,8,4,16,16,16,0,32,13,2048,0,4096,0,0,0,480,32,1566,0,8
_Z9transposeP6float2S0_ii,8.544,18.513,1,5,9,16,16,16,0,2208,8,0,128,0,1024,0,0,240,0,995,100,11
_Z18FAM_ComputeProdSeqP6float2S0_ll,3843.52,3853.12,1,1,128,128,1,1,0,544,8,524288,0,524288,0,0,0,8384,0,81744,20659,32
_Z13c2c_radix2_spifiPvS_i11tfStride_st,18.752,28.055,0.333,1,128,32,1,1,512,64,12,0,128,0,1024,0,0,320,0,2809,321,32
_Z21FAM_FFTShift_VerticalP6float2ll,1713.34,1723.23,1,4,1024,16,16,16,0,28,6,262144,0,524288,0,0,0,4096,0,50876,0,1024
_Z22FAM_ComputeSCDFunctionPfP6float2llll,712.416,722.6,1,1024,2,16,16,16,0,40,10,0,8192,262144,0,0,0,16384,0,135963,0,512
memcpyDtoD_aligned,3.424,12.991,1,1,32,128,1,1,0,28,3,0,64,0,256,0,0,16,0,150,0,8
memcpyDtoD_aligned,3.36,12.524,1,1,32,128,1,1,0,28,3,0,56,0,224,0,0,12,0,150,0,7
memcpyDtoD_aligned,2.72,11.742,1,1,2,128,1,1,0,28,3,0,16,0,64,0,0,0,0,46,0,2
memcpyDtoD_aligned,1.76,10.848,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,4,0,0,0,0
memcpyDtoD_aligned,1.792,10.859,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.728,10.691,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.76,10.676,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.696,10.792,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,4,0,0,0,0
memcpyDtoD_aligned,1.696,10.657,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.807,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,2.016,11.027,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.76,10.668,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.664,10.545,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.758,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.728,10.683,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.792,10.766,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.76,11.121,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.515,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.856,10.915,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.696,10.736,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
